,coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,main_sea_level,main_grnd_level,rain_1h,wind_gust,message,rain_3h,snow_3h,cities
1,69.25,29.9,800,Clear,clear sky,01d,stations,301.7,1009.13,37,301.7,301.7,,2.46,244.521,0,1569906470,,,0.0056,PK,1569892551,1569935383,18000,1173464,Kohlu,200,1009.13,888.79,,,,,,kohlu
1,73.08,-0.6,803,Clouds,broken clouds,04d,stations,301.1,1012.77,78,301.1,301.1,,6.81,108.977,62,1569906470,,,0.0054,MV,1569891241,1569934855,18000,1282256,Hithadhoo,200,1012.77,1012.68,,,,,,hithadhoo
1,-16.33,33.08,802,Clouds,scattered clouds,03n,stations,294.15,1020,73,294.15,294.15,10000,3.6,40,40,1569906470,1,6902,0.0066,PT,1569913147,1569955856,3600,2270385,Camacha,200,,,,,,,,camacha
1,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,lolua
1,-134.97,-23.12,500,Rain,light rain,10n,stations,293.7,1019.55,81,293.7,293.7,,6.55,115.853,53,1569906471,,,0.0061,PF,1569854481,1569898696,-32400,4030556,Rikitea,200,1019.55,1019.48,,,,0.187,,rikitea
1,-90.35,-0.74,803,Clouds,broken clouds,04n,stations,292.59,1014,95,292.59,292.59,,0.89,191,84,1569906472,3,2005652,0.0072,EC,1569844074,1569887690,-21600,3652764,Puerto Ayora,200,,,,3.58,,,,puerto ayora
1,102.47,71.98,802,Clouds,scattered clouds,03d,stations,271.3,1015.3,67,271.3,271.3,,1.4,307.099,28,1569906472,,,0.0064,RU,1569885943,1569926049,25200,2022572,Khatanga,200,1015.3,1012.21,,,,,,khatanga
1,-68.27,12.15,500,Rain,light rain,10n,stations,301.15,1008,88,301.15,301.15,10000,4.6,80,66,1569906473,1,8794,0.0062,BQ,1569925323,1569968605,-14400,3513563,Kralendijk,200,,,,,,1.563,,kralendijk
1,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,skalistyy
1,13.24,-8.83,803,Clouds,broken clouds,04d,stations,296.15,1011,94,296.15,296.15,8000,2.6,150,75,1569906456,1,2173,0.0069,AO,1569905490,1569949322,3600,2240449,Luanda,200,,,,,,,,luanda
1,172.79,3.07,801,Clouds,few clouds,02d,stations,302.8,1008.76,59,302.8,302.8,,2.44,141.869,18,1569906474,,,0.0054,KI,1569867361,1569910886,43200,2110227,Butaritari,200,1008.76,1008.79,,,,,,butaritari
1,-60.23,-38.31,804,Clouds,overcast clouds,04n,stations,281.2,1009.76,56,281.2,281.2,,3.3,332.675,92,1569906475,,,0.0051,AR,1569922584,1569967486,-10800,3833859,Barrow,200,1009.76,998.89,,,,,,barrow
1,147.33,-42.88,802,Clouds,scattered clouds,03d,stations,288.99,1025,41,288.15,289.82,10000,5.1,150,33,1569906346,1,9545,0.0077,AU,1569872709,1569917755,36000,2163355,Hobart,200,,,,,,,,hobart
